Sr. No,"All India 
Merit",Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type,InstituteCode
250,11367 (80.1461462),628424610,Information Technology,JEE(Main),AI to AI,AI,6284
,,,,,,,
251,11469 (79.9800196),412324210,Computer Science and ,JEE(Main),AI to AI,AI,4123
,,,Engineering,,,,
252,11506 (79.8894993),314624510,Computer Engineering,JEE(Main),AI to AI,AI,3146
,,,,,,,
,,,,,,,
253,11526 (79.8842846),322324510,Computer Engineering,JEE(Main),AI to AI,AI,3223
,,,,,,,
254,11554 (79.8678694),319491210,Computer Science and ,JEE(Main),AI to AI,AI,3194
,,,Engineering(Data Science),,,,
255,11567 (79.8678694),664924510,Computer Engineering,JEE(Main),AI to AI,AI,6649
,,,,,,,
256,11619 (79.8623821),347524610,Information Technology,JEE(Main),AI to AI,AI,3475
257,11625 (79.8623821),320429310,Electrical Engineering,JEE(Main),AI to AI,AI,3204
258,11650 (79.7846442),517324510,Computer Engineering,JEE(Main),AI to AI,AI,5173
,,,,,,,
259,11709 (79.6394107),318324610,Information Technology,JEE(Main),AI to AI,AI,3183
,,,,,,,
260,11747 (79.6246021),516224610,Information Technology,JEE(Main),AI to AI,AI,5162
,,,,,,,
261,11780 (79.5732306),321024610,Information Technology,JEE(Main),AI to AI,AI,3210
,,,,,,,
262,11795 (79.5500674),626726210,Computer Science and ,JEE(Main),AI to AI,AI,6267
,,,Business Systems,,,,
263,11866 (79.4083486),417499710,Artificial Intelligence,JEE(Main),AI to AI,AI,4174
