Sr. No,"All India 
Merit",Institute Code,Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type
237,13126 (77.6817314),3423,342324610,Information Technology,JEE(Main),AI to AI,AI
238,13127 (77.6817314),3196,319624510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
239,13153 (77.6815476),5160,516024610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
240,13234 (77.4393531),3190,319024610,Information Technology,JEE(Main),AI to AI,AI
241,13261 (77.4016612),4116,411637210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
242,13275 (77.3960243),6786,678624510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
243,13316 (77.3715211),6273,627346410,Instrumentation and ,JEE(Main),AI to AI,AI
,,,,Control Engineering,,,
244,13406 (77.2882634),6265,626584410,Electronics and Computer ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
245,13455 (77.2190823),6182,618224610,Information Technology,JEE(Main),AI to AI,AI
246,13474 (77.2186879),3211,321190010,Electronics and Computer ,JEE(Main),AI to AI,AI
,,,,Science,,,
247,13534 (77.2138177),4137,413726310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI
,,,,and Data Science,,,
248,13620 (77.0590604),5108,510824610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
249,13642 (76.9986817),4138,413824210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
250,13706 (76.9171367),6179,617924510,Computer Engineering,JEE(Main),AI to AI,AI
251,13723 (76.9171367),4174,417499710,Artificial Intelligence,JEE(Main),AI to AI,AI
252,13773 (76.8102971),6273,627350710,Chemical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
253,13809 (76.7364923),4167,416725710,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Design,,,
254,13866 (76.7133125),3210,321024510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
255,13959 (76.6301770),5162,516224610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
256,13984 (76.5983450),6187,618724510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
257,13993 (76.5962792),6310,631024610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
258,14149 (76.2967225),1105,110524210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
259,14218 (76.2052717),4177,417724210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
260,14229 (76.2052717),6267,626791210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Data Science),,,
261,14255 (76.1480985),3214,321437210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
262,14436 (76.0238128),4115,411558910,Industrial Engineering,JEE(Main),AI to AI,AI
263,14472 (75.9807195),3187,318724610,Information Technology,JEE(Main),AI to AI,AI
264,14517 (75.9398206),6187,618724610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
265,14626 (75.7045396),6206,620624510,Computer Engineering,JEE(Main),AI to AI,AI
