"Institute_Code";"ChoiceCode";"CourseName";"Exam";"CutoffRank";"CutoffScore"
6139;"613992110";"Artificial Intelligence and Machine
Learning";"JEE";15321;76.0054
6274;"627429310";"Electrical Engineering";"JEE";15350;76.0054
6155;"615519110";"Civil Engineering";"JEE";15386;75.9503
3185;"318546610";"Instrumentation Engineering";"JEE";15398;75.9503
6786;"678624510";"Computer Engineering";"JEE";15416;75.9503
3194;"319491210";"Computer Science and
Engineering(Data Science)";"JEE";15449;75.9095
5108;"510824610";"Information Technology";"JEE";15471;75.8366
1105;"110524220";"Computer Science and Engineering";"JEE";15496;75.8074
3211;"321161210";"Mechanical Engineering";"JEE";15544;75.8074
5139;"513924610";"Information Technology";"JEE";15709;75.624
6622;"662299510";"Artificial Intelligence and Data Science";"JEE";15715;75.624
6187;"618724610";"Information Technology";"JEE";15739;75.5438
5172;"517291210";"Computer Science and
Engineering(Data Science)";"JEE";15790;75.5208
3196;"319692010";"(Internet of Things and Cyber Security";"JEE";15796;75.5208
3196;"319691110";"Engineering(Artificial Intelligence and";"JEE";15896;75.3232
1120;"112024210";"Computer Science and Engineering";"JEE";15943;75.1866
4649;"464929310";"Electrical Engineering";"JEE";16026;75.1591
3201;"320119110";"Civil Engineering";"JEE";16041;75.1591
5303;"530319110";"Civil Engineering";"JEE";16055;75.1591
6325;"632524510";"Computer Engineering";"JEE";16064;75.1591
5121;"512137210";"Electronics and Telecommunication
Engg";"JEE";16085;75.1591
6794;"679461210";"Mechanical Engineering";"JEE";16089;75.1591
6307;"630724510";"Computer Engineering";"JEE";16090;75.1591
6311;"631124510";"Computer Engineering";"JEE";16163;75.1355
6250;"625024210";"Computer Science and Engineering";"JEE";16194;75.1355
3210;"321024510";"Computer Engineering";"JEE";16201;75.1355
3204;"320429310";"Electrical Engineering";"JEE";16277;75.0901
3219;"321929310";"Electrical Engineering";"JEE";16325;75.0901
5121;"512129310";"Electrical Engineering";"JEE";16363;74.9989
3218;"321824510";"Computer Engineering";"JEE";16385;74.9989
6272;"627261210";"Mechanical Engineering";"JEE";16431;74.9712
6273;"627360610";"Production Engineering";"JEE";16444;74.9712
6185;"618524520";"Computer Engineering";"JEE";16492;74.8832
4123;"412324610";"Information Technology";"JEE";16515;74.8025
4123;"412300210";"Aeronautical Engineering";"JEE";16548;74.8025
6206;"620624610";"Information Technology";"JEE";16563;74.8025
6834;"683424510";"Computer Engineering";"JEE";16568;74.8025
6177;"617737210";"Electronics and Telecommunication
Engg";"JEE";16606;74.8025
3475;"347537210";"Electronics and Telecommunication
Engg";"JEE";16629;74.8025
4138;"413824610";"Information Technology";"JEE";16643;74.784
6772;"677224610";"Information Technology";"JEE";16653;74.784
6282;"628237220";"Electronics and Telecommunication
Engg";"JEE";16676;74.7745
6622;"662292110";"Artificial Intelligence and Machine
Learning";"JEE";16748;74.7729
3208;"320837210";"Electronics and Telecommunication
Engg";"JEE";16775;74.4172
6310;"631024610";"Information Technology";"JEE";16798;74.4172
3223;"322324510";"Computer Engineering";"JEE";16851;74.1594
6822;"682261210";"Mechanical Engineering";"JEE";16866;74.1594
6283;"628324210";"Computer Science and Engineering";"JEE";16954;74.0207
6146;"614661210";"Mechanical Engineering";"JEE";17045;74.013
5151;"515124510";"Computer Engineering";"JEE";17086;74.013
3460;"346024510";"Computer Engineering";"JEE";17115;73.9256
6220;"622024210";"Computer Science and Engineering";"JEE";17174;73.9256
3201;"320137210";"Electronics and Telecommunication
Engg";"JEE";17282;73.8667
3154;"315424610";"Information Technology";"JEE";17442;73.5421
3216;"321650710";"Chemical Engineering";"JEE";17482;73.426
6155;"615537210";"Electronics and Telecommunication
Engg";"JEE";17496;73.426
3210;"321024610";"Information Technology";"JEE";17498;73.426
6177;"617737220";"Electronics and Telecommunication
Engg";"JEE";17512;73.426
1101;"110137210";"Electronics and Telecommunication
Engg";"JEE";17548;73.426
3175;"317524610";"Information Technology";"JEE";17571;73.395
6207;"620737210";"Electronics and Telecommunication
Engg";"JEE";17575;73.395
4142;"414291710";"Data Science";"JEE";17773;73.1274
4613;"461361210";"Mechanical Engineering";"JEE";17774;73.1274
6796;"679637210";"Electronics and Telecommunication
Engg";"JEE";17930;72.8888
4177;"417724610";"Information Technology";"JEE";17948;72.8888
6138;"613824510";"Computer Engineering";"JEE";17993;72.8888
6769;"676924510";"Computer Engineering";"JEE";17998;72.8849
5151;"515124610";"Information Technology";"JEE";18149;72.7848
6419;"641924210";"Computer Science and Engineering";"JEE";18173;72.7848
5449;"544924610";"Information Technology";"JEE";18233;72.6633
5181;"518124510";"Computer Engineering";"JEE";18326;72.3311
6276;"627646410F";"Instrumentation and Control
Engineering";"JEE";18387;72.264
2113;"211324210";"Computer Science and Engineering";"JEE";18421;72.264
6222;"622291310";"Computer Science and Engineering
(Artificial Intelligence)";"JEE";18466;72.1964
3146;"314624610";"Information Technology";"JEE";18561;72.0754
6283;"628300210";"Aeronautical Engineering";"JEE";18610;72.0754
6298;"629824610";"Information Technology";"JEE";18663;71.964
6311;"631124610";"Information Technology";"JEE";18699;71.964
6268;"626824210";"Computer Science and Engineering";"JEE";18771;71.9628
4649;"464961210";"Mechanical Engineering";"JEE";18816;71.941
6214;"621461210";"Mechanical Engineering";"JEE";18818;71.941
6419;"641991310";"Computer Science and Engineering
(Artificial Intelligence)";"JEE";18866;71.941
6307;"630724610";"Information Technology";"JEE";18904;71.8912
6144;"614424510";"Computer Engineering";"JEE";18913;71.8912
3139;"313937610";"Electronics Engineering";"JEE";18915;71.7921
4181;"418124510";"Computer Engineering";"JEE";18920;71.7921
4151;"415137010";"Electronics and Communication
Engineering";"JEE";18938;71.7921
6278;"627861210";"Mechanical Engineering";"JEE";18957;71.5411
6802;"680250710";"Chemical Engineering";"JEE";18968;71.5285
6275;"627524510";"Computer Engineering";"JEE";19006;71.4569
3201;"320190010";"Electronics and Computer Science";"JEE";19014;71.411
5109;"510924510";"Computer Engineering";"JEE";19058;71.411
6139;"613937210";"Electronics and Telecommunication
Engg";"JEE";19089;71.3898
6288;"628824210";"Computer Science and Engineering";"JEE";19196;71.3024
2113;"211301110";"Agricultural Engineering";"JEE";19200;71.3024
3148;"314837210";"Electronics and Telecommunication
Engg";"JEE";19243;71.3024
5331;"533129310";"Electrical Engineering";"JEE";19421;71.0485
6177;"617719110";"Civil Engineering";"JEE";19566;70.9815
5160;"516084410";"Electronics and Computer Engineering";"JEE";19607;70.9815
2137;"213729710";"Electrical and Electronics Engineering";"JEE";19637;70.9292
4179;"417924210";"Computer Science and Engineering";"JEE";19656;70.9226
3193;"319324510";"Computer Engineering";"JEE";19679;70.9226
4123;"412325110";"Computer Technology";"JEE";19688;70.8541
4171;"417199510";"Artificial Intelligence and Data Science";"JEE";19709;70.7278
6185;"618524610";"Information Technology";"JEE";19790;70.5058
6267;"626737210";"Electronics and Telecommunication
Engg";"JEE";19831;70.5058
6275;"627524610";"Information Technology";"JEE";19833;70.5058
6278;"627819110";"Civil Engineering";"JEE";19859;70.5058
6298;"629899510";"Artificial Intelligence and Data Science";"JEE";20059;70.3752
6176;"617637210";"Electronics and Telecommunication
Engg";"JEE";20130;70.2822
4174;"417437210";"Electronics and Telecommunication
Engg";"JEE";20290;70.1008
6184;"618424510";"Computer Engineering";"JEE";20308;70.1008
6770;"677024510";"Computer Engineering";"JEE";20540;70.0403
