Institute_Code,Institute_Name,City,Status,Total_Intake
6283,Annasaheb Dange College of Engineering and Technology,Sangli,Un-Aided,660
6284,Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology,Pune,Un-Aided,540
6285,Bharati Vidyapeeth's College of Engineering for Women,Pune,Un-Aided,240
6288,Bharati Vidyapeeth's College of Engineering,Kolhapur,Un-Aided,300
6289,B.R.A.C.T's Vishwakarma Institute of Information Technology,Pune,Un-Aided,1320
6293,Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology,Solapur,Un-Aided,300
6298,Zeal Education Society's Zeal College of Engineering & Reserch,Pune,Un-Aided,900
6303,Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering,Karad,Un-Aided,240
6304,Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre,Sangli,Un-Aided,240
6305,Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology,Satara,Un-Aided,210
6307,Dhole Patil Education Society,Pune,Un-Aided,255
6308,Shanti Education Society,Solapur,Un-Aided,240
6310,Nutan Maharashtra Vidya Prasarak Mandal,Pune,Un-Aided,360
6311,Jayawant Shikshan Prasarak Mandal,Wagholi,Un-Aided,540
6313,Jaywant College of Engineering & Polytechnic,SANGLI,Un-Aided,270
6315,Holy-Wood Academy's Sanjeevan Engineering and Technology Institute,Panhala,Un-Aided,360
6317,Sharad Institute of Technology College of Engineering,Yadrav(Ichalkaranji),Un-Aided,660
6318,Abhinav Education Society's College of Engineering and Technology (Degree),Wadwadi,Un-Aided,60
6319,Shahajirao Patil Vikas Pratishthan,Indapur,Un-Aided,360
6320,K.J.'s Educational Institute's K.J.College of Engineering & Management Research,Pisoli,Un-Aided,570
6321,Vidya Vikas Pratishthan Institute of Engineering and Technology,Solapur,Un-Aided,300
6322,Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering,Dumbarwadi,Un-Aided,90
6324,Rajgad Dnyanpeeth's Technical Campus,Bhor,Un-Aided,360
6325,Alard Charitable Trust's Alard College of Engineering and Management,Pune,Un-Aided,480
6326,Karmayogi Institute of Technology,Pandharpur,Un-Aided,240
6419,Nutan College of Engineering and Research,Pune,Un-Aided,360
6444,Shriram Institute Of Engineering & Technology,Paniv,Un-Aided,180
6466,Shree Santkrupa Shikshan Sanstha,Karad,Un-Aided,180
6468,Swami Vivekananda Shikshan Sanstha,Kolhapur,Un-Aided,180
6545,Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi,Satara.,Un-Aided,360
6609,Jaihind College Of Engineering,Kuran,Un-Aided,300
6622,ISBM College Of Engineering,Pune,Un-Aided,360
6625,Universal College of Engineering & Research,Sasewadi,Un-Aided,91
6628,Dattakala Group Of Institutions,Pune,Un-Aided,390
6632,Navsahyadri Education Society's Group of Institutions,Pune,Un-Aided,360
6634,KJEI's Trinity Academy of Engineering,Pune,Un-Aided,360
6635,Samarth Group of Institutions,Pune,Un-Aided,360
6640,N. B. Navale Sinhgad College of Engineering,solapur,Un-Aided,360
